customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST-100000,Male,0,Yes,No,20,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,82.07,1707.74,No
CUST-100001,Female,0,Yes,No,49,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,96.96,4888.94,No
CUST-100002,Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,46.25,3333.73,No
CUST-100003,Male,0,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),48.35,1862.07,No
CUST-100004,Male,0,No,No,40,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),98.41,3892.78,Yes
CUST-100005,Female,0,No,No,60,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,85.9,5013.43,No
CUST-100006,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),41.86,162.04,No
CUST-100007,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),95.77,6735.06,Yes
CUST-100008,Male,0,Yes,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,39.85,1355.08,No
CUST-100009,Male,0,No,Yes,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,42.1,1129.32,No
CUST-100010,Female,1,No,No,45,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,72.33,3350.63,No
CUST-100011,Female,0,No,Yes,66,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),78.65,5377.61,Yes
CUST-100012,Female,1,Yes,No,68,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,71.67,4806.68,No
CUST-100013,Female,1,Yes,No,56,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),84.83,4696.65,Yes
CUST-100014,Female,1,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),38.92,1313.13,No
CUST-100015,Female,0,Yes,Yes,10,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),72.03,708.17,No
CUST-100016,Female,0,Yes,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),41.11,511.76,No
CUST-100017,Male,0,No,Yes,61,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.67,5514.7,Yes
CUST-100018,Female,0,No,No,9,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,104.71,954.3,Yes
CUST-100019,Male,0,No,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Mailed check,95.43,3307.52,Yes
CUST-100020,Female,0,No,No,29,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),91.12,2601.22,No
CUST-100021,Male,1,No,No,51,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,112.06,5724.58,No
CUST-100022,Male,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,39.58,996.24,No
CUST-100023,Female,0,No,No,51,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),101.73,5319.95,No
CUST-100024,Female,0,No,No,37,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,79.16,2840.05,No
CUST-100025,Female,0,Yes,No,64,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,No,Bank transfer (automatic),99.28,6630.96,Yes
CUST-100026,Male,0,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,103.22,1296.04,Yes
CUST-100027,Female,0,No,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,47.04,2593.14,Yes
CUST-100028,Female,0,Yes,No,52,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.93,4827.6,No
CUST-100029,Male,0,No,No,60,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),76.63,4612.23,No
CUST-100030,Male,0,No,No,35,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,93.31,3393.27,Yes
CUST-100031,Male,0,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.29,948.61,No
CUST-100032,Male,0,Yes,Yes,37,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),108.85,4002.62,No
CUST-100033,Female,0,No,Yes,71,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Mailed check,67.05,4744.03,No
CUST-100034,Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,95.04,1307.24,No
CUST-100035,Male,0,Yes,No,48,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,115.73,5315.73,Yes
CUST-100036,Female,0,No,No,16,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),104.84,1728.06,Yes
CUST-100037,Female,0,No,Yes,56,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),101.66,5812.37,Yes
CUST-100038,Male,0,No,No,30,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,90.34,2764.55,No
CUST-100039,Female,0,No,No,62,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),74.21,4395.33,No
CUST-100040,Male,1,No,No,11,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,75.06,856.84,Yes
CUST-100041,Female,0,Yes,Yes,9,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,98.76,913.14,Yes
CUST-100042,Female,1,Yes,No,69,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,68.46,4508.77,No
CUST-100043,Male,0,No,No,24,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),73.87,1848.4,No
CUST-100044,Male,0,Yes,No,6,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),98.51,571.44,No
CUST-100045,Female,0,No,Yes,61,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,94.21,5792.59,No
CUST-100046,Male,0,No,Yes,30,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,98.7,2877.43,Yes
CUST-100047,Female,1,Yes,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),36.38,2441.3,No
CUST-100048,Female,0,No,No,31,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,82.88,2480.8,No
CUST-100049,Female,1,No,Yes,55,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Mailed check,73.65,3956.86,No
CUST-100050,Female,1,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),42.91,1764.1,No
